;treffen bewegung seite;theater bühne rolle;könig zimmer jung;thl gr kirche;lassen weise mensch;blatt verfasser abendblatt;hiesig finden haus;blatt armee nachricht;könig majestät krankheit;bild kunst künstler;brief stadt richtung;kind jung frau;wissenschaft geist staat;staat nation gesetz;sprechen halten pferd
11_06-1_Buelletin_der_oeffentlichen_Blaetter._08.01.1811;0.03003663;0.0007326007;0.0007326007;0.0007326007;0.1032967033;0.0007326007;0.0007326007;0.46227106230000004;0.1838827839;0.0446886447;0.022710622700000002;0.0446886447;0.0007326007;0.022710622700000002;0.0813186813
11_06-2_Beispiel_einer_unerhoerten_Mordbrennerei.;0.0278481013;0.0025316456;0.0025316456;0.0025316456;0.2303797468;0.0025316456;0.5088607595;0.0025316456;0.053164557;0.0025316456;0.0278481013;0.1291139241;0.0025316456;0.0025316456;0.0025316456
11_06-3_Merkwuerdige_Prophezeihung.;0.0040816327;0.044897959200000004;0.0040816327;0.0040816327;0.2081632653;0.1673469388;0.0040816327;0.0040816327;0.0040816327;0.1265306122;0.0040816327;0.0040816327;0.0040816327;0.0040816327;0.412244898
11_07-1_Buelletin_der_oeffentlichen_Blaetter._09.01.1811;0.0007434944000000001;0.0379182156;0.0007434944000000001;0.0007434944000000001;0.3130111524;0.0007434944000000001;0.15687732340000002;0.06765799260000001;0.060223048300000005;0.0230483271;0.0007434944000000001;0.0007434944000000001;0.0230483271;0.3130111524;0.0007434944000000001
11_07-2_Mutterliebe;0.0036363636000000003;0.0036363636000000003;0.0036363636000000003;0.0036363636000000003;0.2218181818;0.0036363636000000003;0.04;0.0036363636000000003;0.0036363636000000003;0.0036363636000000003;0.0036363636000000003;0.3672727273;0.0036363636000000003;0.0036363636000000003;0.33090909090000004
11_07-3_Buelletin_der_oeffentlichen_Blaetter._09.01.1811;0.6452830189000001;0.0037735849000000003;0.0037735849000000003;0.0037735849000000003;0.2679245283;0.0037735849000000003;0.0037735849000000003;0.041509434000000005;0.0037735849000000003;0.0037735849000000003;0.0037735849000000003;0.0037735849000000003;0.0037735849000000003;0.0037735849000000003;0.0037735849000000003
11_07-4_Vermischte_Nachrichten.;0.1490909091;0.0036363636000000003;0.0036363636000000003;0.04;0.0036363636000000003;0.0036363636000000003;0.1490909091;0.1854545455;0.0763636364;0.0036363636000000003;0.0036363636000000003;0.1854545455;0.0036363636000000003;0.1854545455;0.0036363636000000003
11_07-5_Sinnentstellende_Druckfehler_in_Nro._4._des_Abendblatts;0.0086956522;0.0086956522;0.0086956522;0.0086956522;0.0086956522;0.8782608696;0.0086956522;0.0086956522;0.0086956522;0.0086956522;0.0086956522;0.0086956522;0.0086956522;0.0086956522;0.0086956522
11_08-1_Unwahrscheinliche_Wahrhaftigkeiten;0.5903030303;0.0004040404;0.0004040404;0.0004040404;0.1256565657;0.032727272700000004;0.0004040404;0.0206060606;0.0004040404;0.0004040404;0.008484848500000001;0.1337373737;0.0004040404;0.0004040404;0.0852525253
11_08-2_Anzeige_Kunst_und_Industrie-Comptoir_10.01.1811;0.0666666667;0.0666666667;0.0666666667;0.0666666667;0.0666666667;0.0666666667;0.0666666667;0.0666666667;0.0666666667;0.0666666667;0.0666666667;0.0666666667;0.0666666667;0.0666666667;0.0666666667
