;treffen bewegung seite;theater bühne rolle;könig zimmer jung;thl gr kirche;lassen weise mensch;blatt verfasser abendblatt;hiesig finden haus;blatt armee nachricht;könig majestät krankheit;bild kunst künstler;brief stadt richtung;kind jung frau;wissenschaft geist staat;staat nation gesetz;sprechen halten pferd
treffen bewegung seite;1.0;0.1147283687;0.16338626550000002;0.055655133700000005;0.2828829134;0.0872897417;0.1336165306;0.1034591418;0.100204394;0.11769332660000001;0.1341715147;0.219268222;0.1050942569;0.0727624665;0.13715477280000002
theater bühne rolle;0.1147283687;1.0;0.07016817560000001;0.0642546479;0.2746700971;0.1532776394;0.0923708983;0.0717424966;0.12251631780000001;0.1617845182;0.1044302859;0.1447241668;0.09147884760000001;0.0923178239;0.0927448902
könig zimmer jung;0.16338626550000002;0.07016817560000001;1.0;0.044291327400000004;0.22918830510000002;0.0719586584;0.09653900950000001;0.0833357706;0.0737633505;0.09378294670000001;0.0754806269;0.2113215743;0.0984864444;0.06980951070000001;0.1251330706
thl gr kirche;0.055655133700000005;0.0642546479;0.044291327400000004;1.0;0.1087622587;0.1491899788;0.1333075987;0.07341158710000001;0.0662083426;0.0936972635;0.11630646900000001;0.0662870006;0.1520981291;0.0714817239;0.0550651646
lassen weise mensch;0.2828829134;0.2746700971;0.22918830510000002;0.1087622587;1.0;0.24213556390000002;0.1538115127;0.2053677287;0.241903693;0.3805815551;0.29037884340000003;0.35265171900000003;0.3278445283;0.3129253791;0.232056329
blatt verfasser abendblatt;0.0872897417;0.1532776394;0.0719586584;0.1491899788;0.24213556390000002;1.0;0.0778758968;0.11428865220000001;0.1106202986;0.1374544822;0.1263271826;0.0905022661;0.1753491694;0.1218919044;0.0965445513
hiesig finden haus;0.1336165306;0.0923708983;0.09653900950000001;0.1333075987;0.1538115127;0.0778758968;1.0;0.1056230735;0.1307065331;0.0788667376;0.0974645008;0.1579746789;0.0816438006;0.0918503845;0.0815173396
blatt armee nachricht;0.1034591418;0.0717424966;0.0833357706;0.07341158710000001;0.2053677287;0.11428865220000001;0.1056230735;1.0;0.31469600740000003;0.1142201478;0.12818303620000002;0.1648151839;0.0626060658;0.1405256476;0.1567672158
könig majestät krankheit;0.100204394;0.12251631780000001;0.0737633505;0.0662083426;0.241903693;0.1106202986;0.1307065331;0.31469600740000003;1.0;0.11948504280000001;0.10047064210000001;0.1714841966;0.137177679;0.1672677081;0.1130800441
bild kunst künstler;0.11769332660000001;0.1617845182;0.09378294670000001;0.0936972635;0.3805815551;0.1374544822;0.0788667376;0.1142201478;0.11948504280000001;1.0;0.0856246253;0.1954647458;0.17303696270000002;0.11094697070000001;0.10102483820000001
brief stadt richtung;0.1341715147;0.1044302859;0.0754806269;0.11630646900000001;0.29037884340000003;0.1263271826;0.0974645008;0.12818303620000002;0.10047064210000001;0.0856246253;1.0;0.106472415;0.1208254488;0.0903355617;0.1254769135
kind jung frau;0.219268222;0.1447241668;0.2113215743;0.0662870006;0.35265171900000003;0.0905022661;0.1579746789;0.1648151839;0.1714841966;0.1954647458;0.106472415;1.0;0.1214017285;0.1080562363;0.2371365248
wissenschaft geist staat;0.1050942569;0.09147884760000001;0.0984864444;0.1520981291;0.3278445283;0.1753491694;0.0816438006;0.0626060658;0.137177679;0.17303696270000002;0.1208254488;0.1214017285;1.0;0.27231928920000004;0.0618611566
staat nation gesetz;0.0727624665;0.0923178239;0.06980951070000001;0.0714817239;0.3129253791;0.1218919044;0.0918503845;0.1405256476;0.1672677081;0.11094697070000001;0.0903355617;0.1080562363;0.27231928920000004;1.0;0.054425155700000005
sprechen halten pferd;0.13715477280000002;0.0927448902;0.1251330706;0.0550651646;0.232056329;0.0965445513;0.0815173396;0.1567672158;0.1130800441;0.10102483820000001;0.1254769135;0.2371365248;0.0618611566;0.054425155700000005;1.0
