id,title,date,author,folio,text
11_07-2,Mutterliebe,1811-01-09,Heinrich von Kleist,[[ba_11_07.md]],"Mutterliebe.

Zu St. Omer im nördlichen Frankreich ereignete sich im Jahr 1803 ein merkwürdiger Vorfall. Daselbst fiel ein großer toller Hund, der schon mehrere Menschen beschädigt hatte, über zwei, unter einer Hausthür spielende, Kinder her. Eben zerreißt er das jüngste, das sich, unter seinen Klauen, im Blute wälzt; da erscheint, aus einer Nebenstraße, mit einem Eimer Wasser, den sie auf dem Kopf trägt, die Mut ter. Diese, während der Hund die Kinder losläßt, und auf sie zuspringt, setzt den Eimer neben sich nieder; und außer Stand zu fliehen, entschlossen, das Unthier mindestens mit sich zu verderben, umklammert sie, mit Gliedern, gestählt von Wuth und Rache, den Hund: sie erdrosselt ihn, und fällt, von grimmigen Bissen zerfleischt, ohnmächtig neben ihm nieder. Die Frau begrub noch ihre Kinder und ward, in wenig Tagen, da sie an der Tollwuth starb, selbst zu ihnen ins Grab gelegt."
10_40_2,Fragmente.,1810-11-15,Adam Müller,[[ba_10_40.md]],"Fragmente.

1.

Privilegien und Rechte einzelner Menschen werden mit höchster Gewissenhaftigkeit geschont, während man die Rechte ganzer Stände und Corporationen mit Flüchtigkeit bei Seite wirft; die Satzungen der Privaten werden gerade so heilig gehalten, als die Satzungen und Institutionen des Staats geringgeachtet: und Ihr wundert Euch noch, daß die Spezialhypotheken beim Publikum mehr Credit haben, als die Generalhypotheken. — Das Hauptproblem für den Finanzier unsrer Zeit ist, die Generalhypotheken wieder zu Ehren zu bringen; mit andern Worten: es dahin zu bringen, daß der Staat und der einzelne Stand wie es die Natur der Sache will mehr Credit habe, als der Privatmann.

2.

Wenn doch diese aufklärende Freiheitsapostel aus der Schule Adam Smiths, diese Philosophen vom reinen Ertrage merken möchten, wie sie, ihr eignes Werk zerstören: mit der einen Hand steigern sie die idealischen Bedürfnisse der Nationen durch die Aufklärung ins Unendliche, mit der andern bauen sie eine Staatswirthschaft, welche nur rohe, reale, zählbare und handgreifliche Bedürfnisse statuirt. — Die Cosmopolitischen und Freiheits-Ansichten Adam Smiths, haben nur im Augenblick des tiefsten Verfalls aller Nationalität, in Europa Glück machen können.

A. M."
10_08_3,Polizeiliche Tages-Mittheilungen. (9.10.1810),1810-10-09,Redaktion,[[ba_10_08.md]],"Polizeiliche Tages-Mittheilungen.

Am 3. d. M. hat sich in Charlottenburg ein fremder Hund mit einem Stricke um den Hals eingefunden, und ist nachdem er sich mit mehrern Hunden gebissen hatte, und aus mehrern Häusern verjagt war, auf den Hof des Herrn Geh. Commerz. Rath Pauli gerathen. Daselbst wurde er von sämmtlichen Hunden angefallen, und weil er sich mit ihnen herumbiß, so hielt man ihn für toll, erschoß ihn, und alle Paulische, von ihm gebissene Hunde, und begrub sie ehrlich. Dieses Faktum hat zu dem Gerücht Anlaß gegeben, daß in Charlottenburg ein toller Hund Menschen und Vieh gebissen habe. Menschen sind gar nicht gebissen, das Vieh aber, das er biß, ist theils getödtet und begraben, theils in Observation gesetzt. Zudem da er sich gutwillig aus mehreren Häusern verjagen ließ, ist nur zu wahrscheinlich, daß der Hund gar nicht toll gewesen.

Auf dem Abendmarkt sind 4 fremde nicht richtige Maaße zerschlagen, und einem Butterhändler, wegen ungetreuen Abwägens, 50½ ℔. Butter confiscirt worden.

Am 7. des Abends ist der vierjährige Sohn des Seidenwürkers Albrecht unter den Frankfurter Linden von einem Bauer übergefahren worden. Weil der Bauer nur im Schritt fuhr, gleich still hielt und das Pferd über ihn wegsprang, ist er bloß am Kopf vom Rade ein wenig gestreift und außer aller Gefahr."
11_01-4,Miscellen. (02.01.1811),1811-01-02,Redaktion,[[ba_11_01.md]],"Miscellen.

Zu Montesquieu’s Zeiten waren die Frisuren so hoch, daß es, wie er witzig bemerkt, aussah, als ob die Gesichter in der Mitte der menschlichen Gestalt ständen; bald nachher wurden die Hacken so hoch, daß es aussah, als ob die Füße diesen sonderbaren Platz einnähmen. Auf eine ähnliche Art waren, mit Montesquieu zu reden, vor einer Handvoll Jahren, die Taillen so dünn, daß es aussah, als ob die Frauen gar keine Leiber hätten; jetzt im Gegentheil sind die Arme so dick, daß es aussieht, als ob sie deren drei hätten."
11_05-3,Der neuere (gluͤcklichere) Werther,1811-01-07,Heinrich von Kleist,[[ba_11_05.md]],"Der neuere (glücklichere) Werther.

Zu L..e in Frankreich war ein junger Kaufmannsdiener, Charles C..., der die Frau seines Principals, eines reichen aber bejahrten Kaufmanns, Namens D..., heimlich liebte. Tugendhaft und rechtschaffen, wie er die Frau kannte, machte er nicht den mindesten Versuch, ihre Gegenliebe zu erhalten: um so weniger, da er durch manche Bande der Dankbarkeit und Ehrfurcht an seinen Prinzipal geknüpft war. Die Frau, welche mit seinem Zustande, der seiner Gesundheit nachtheilig zu werden drohte, Mitleiden hatte, forderte ihren Mann, unter mancherlei Vorwand auf, ihn aus dem Hause zu entfernen; der Mann schob eine Reise, zu welcher er ihn bestimmt hatte, von Tage zu Tage auf, und erklärte endlich ganz und gar, daß er ihn in seinem Comptoir nicht entbehren könne. Einst machte Herr D..., mit seiner Frau, eine Reise zu einem Freunde, auf’s Land; er ließ den jungen C..., um die Geschäfte der Handlung zu führen, im Hause zurück. Abends, da schon Alles schläft, macht sich der junge Mann, von welchen Empfindungen getrieben, weiß ich nicht, auf, um noch einen Spaziergang durch den Garten zu machen. Er kömmt bei dem Schlafzimmer der theuern Frau vorbei, er steht still, er legt die Hand an die Klinke, eröffnet das Zimmer: das Herz schwillt ihm bei dem Anblick des Bettes, in welchem sie zu ruhen pflegt, empor, und kurz, er begeht, nach manchen Kämpfen mit sich selbst, die Thorheit, weil es doch niemand sieht, und zieht sich aus und legt sich hinein. Nachts, da er schon mehrere Stunden, sanft und ruhig, geschlafen, kommt, aus irgend einem besonderen Grunde, der, hier anzugeben, gleichgültig ist, das Ehepaar unerwartet nach Hause zurück; und da der alte Herr mit seiner Frau ins Schlafzimmer tritt, finden sie den jungen C..., der sich, von dem Geräusch, das sie verursachen aufgeschreckt, halb im Bette, erhebt. Schaam und Verwirrung, bei diesem Anblick, ergreifen ihn; und während das Ehepaar betroffen umkehrt, und wieder in das Nebenzimmer, aus dem sie gekommen waren, verschwindet, steht er auf, und zieht sich an; er schleicht, seines Lebens müde, in sein Zimmer, schreibt einen kurzen Brief, in welchem er den Vorfall erklärt, an die Frau, und schießt sich mit einem Pistol, das an der Wand hängt, in die Brust. Hier scheint die Geschichte seines Lebens aus; und gleichwohl (sonderbar genug) fängt sie hier erst allererst an. Denn statt ihn, den Jüngling, auf den er gemünzt war, zu tödten, zog der Schuß dem alten Herrn, der in dem Nebenzimmer befindlich war, den Schlagfluß zu: Herr D... verschied wenige Stunden darauf, ohne daß die Kunst aller Aerzte, die man herbeigerufen, im Stande gewesen wäre, ihn zu retten. Fünf Tage nachher, da Herr D... schon längst begraben war, erwachte der junge C..., dem der Schuß, aber nicht lebensgefährlich, durch die Lunge gegangen war: und wer beschreibt wohl — wie soll ich sagen, seinen Schmerz oder seine Freude? als er erfuhr, was vorgefallen war und sich in den Armen der lieben Frau befand, um derentwillen er sich den Tod hatte geben wollen! Nach Verlauf eines Jahres heirathete ihn die Frau; und beide lebten noch im Jahr 1801, wo ihre Familie bereits, wie ein Bekannter erzählt, aus 15 Kindern bestand."
10_22_5,Polizeiliche Tages-Mittheilungen. (25.10.1810),1810-10-25,Heinrich von Kleist [bearb.],[[ba_10_22.md]],"Polizeiliche Tages-Mittheilungen.

Einem hiesigen Bäcker ist für 16 Gr. zu leichtes Brod konfiszirt und dreien andern resp. für 2 und 4 Gr. verbackenes zerschnitten.

Ein Torfhändler hat einen hiesigen Bürger auf ½ Haufen Torf, 20 Kiepen zu wenig gemessen, und ist deshalb zur Untersuchung gezogen."
10_77_1,Bülletin der öffentlichen Blätter (31.12.1810),1810-12-31,Redaktion,[[ba_10_77.md]],"Bülletin der öffentlichen Blätter.

Rio Janeiro, den 8ten Oct.

In dem Gouvernement von Buenos-Ayres sind wichtige Veränderungen vorgefallen. — Die neue Regierung hat den Vicekönig Cisneros gefangen nehmen und nach Europa senden lassen. Die alten Spanier sind der Junta von Buenos-Ayres zuwider, aber nicht zahlreich genug, um etwas gegen sie unternehmen zu können.

Die Stadt Cordova, in welcher sich Don Santojago Liniers befand, wiedersetzte sich gleichwohl der Junta. Bald darauf wurde die Stadt durch ein von der Junta abgesandtes Truppenkorps berennt, und zur Unterwerfung gezwungen. Liniers, und einige seiner Anhänger, flüchteten ins Innere, wurden aber verfolgt, gefangen genommen, und sämmtlich füsilirt.

Kaum war die Nachricht von dieser tragischen Begebenheit nach Monte-Video gekommen, als die Regierung dieser Stadt ihrer Seits wieder die Belagerung von Buenos-Ayres anfangen ließ. Man sieht den Folgen aller dieser anarchischen Bewegungen mit Ungeduld und Betrübniß entgegen. Die englischen, spanischen und portugiesischen Eskadern unterstützen die Stadt Monte-Video in der Belagerung von Buenos-Ayres. (L. d. B.)

Preßburg, den 18ten Nov.

Nach Briefen aus der Wallachei ist der ReisEffendi, der wegen Friedensunterhandlungen daselbst angekommen war, unverrichteter Sache wieder aus dem Russ. Hauptquartier nach Constantinopel zurück gekehrt. (L. d. B.)"
14.12.1810),(Anzeige Hitzig,1810-12-14,Redaktion,[[ba_10_65.md]],"Bei J. E. Hitzig hinter der katholischen Kirche Nr. 3. ist eben angekommen:

Halle und Jerusalem. Studentenspiel und Pilgerabentheuer, von Ludwig Achim von Arnim Mit einer schönen Titel-Vignette. 8. Heidelberg, bei Mohr und Zimmer. 1 thl. 16 gr."
10_63_2,Litterarische Bemerkung.,1810-12-12,Friedrich Carl von Savigny [?],[[ba_10_63.md]],"Litterarische Bemerkung.

Die Leser und Käufer der Grundsätze der rationellen Landwirthschaft von Thär, eines so theuren und dabey vom Publicum so auffallend begünstigten Buchs, hat es billig befremden müssen, daß man die, bei der Lektüre des eben erschienenen dritten Theils unentbehrlichen, und, bei einem so großen Gewinnst, als dieses Buch abwirft, wenig kostspieligen Kupferabbildungen der Ackerwerkzeuge, nicht dem Buche hinzugefügt, sondern, es für gut gefunden hat, die Anschaffung des abgesondert erschienenen Thärschen Kupferwerks, den Lesern zur Pflicht zu machen Dürfte wohl ein Autor wie dieser, der doch der Dauer seiner Arbeiten gewiß zu sein scheint, gleich bei ihrer ersten Erscheinung so ängstlich auf den Gewinn, der ihm gebührt und nicht entgehen kann, gerichtet sein? —

v. S."
10_25_4,Polizeiliche Tages-Mittheilungen (29.10.1810),1810-10-29,Heinrich von Kleist,[[ba_10_25.md]],"Polizeiliche Tages-Mittheilungen.

Ein Tagelöhner der wegen Diebstahl zu 15jähriger Festungs-Arbeit in Spandau verurtheilt, dort entsprungen und durch Steckbriefe verfolgt war, ist in Pankow erkannt und wieder zur Haft gebracht.

Auf dem neuen Markt ist einer Obsthändlerin ein abgenutztes Gemäß zerschlagen.

Einem Bäcker ist für 4 Gr. verbackenes Brod zerschnitten.

Bei einem Kaufmann sind einige Gewichte, und bei einem Schlächter die Waage nicht gehörig ajustirt gefunden und daher dem Ajustirungs-Amte übergeben.

Einem Schneidermeister wurden aus seiner Wohnung mehrere Kleidungsstücke entwendet."
